001  00001 |Loss: 2.743 | Accuracy: 6.250% 
001  00002 |Loss: 2.676 | Accuracy: 14.062% 
001  00003 |Loss: 2.661 | Accuracy: 16.667% 
001  00004 |Loss: 2.609 | Accuracy: 22.656% 
001  00005 |Loss: 2.555 | Accuracy: 30.000% 
001  00006 |Loss: 2.475 | Accuracy: 40.104% 
001  00007 |Loss: 2.421 | Accuracy: 44.196% 
001  00008 |Loss: 2.360 | Accuracy: 46.875% 
001  00009 |Loss: 2.297 | Accuracy: 49.653% 
001  00010 |Loss: 2.248 | Accuracy: 51.250% 
001  00011 |Loss: 2.183 | Accuracy: 54.261% 
001  00012 |Loss: 2.127 | Accuracy: 55.990% 
001  00013 |Loss: 2.074 | Accuracy: 57.212% 
001  00014 |Loss: 2.052 | Accuracy: 56.920% 
001  00015 |Loss: 2.019 | Accuracy: 57.292% 
001  00016 |Loss: 1.974 | Accuracy: 58.398% 
001  00017 |Loss: 1.919 | Accuracy: 60.294% 
001  00018 |Loss: 1.882 | Accuracy: 61.458% 
001  00019 |Loss: 1.841 | Accuracy: 62.336% 
001  00020 |Loss: 1.806 | Accuracy: 62.969% 
001  00021 |Loss: 1.772 | Accuracy: 63.839% 
001  00022 |Loss: 1.731 | Accuracy: 65.199% 
001  00023 |Loss: 1.702 | Accuracy: 66.033% 
001  00024 |Loss: 1.685 | Accuracy: 66.406% 
001  00025 |Loss: 1.672 | Accuracy: 66.750% 
001  00026 |Loss: 1.649 | Accuracy: 67.308% 
001  00027 |Loss: 1.640 | Accuracy: 67.245% 
001  00028 |Loss: 1.622 | Accuracy: 67.634% 
001  00029 |Loss: 1.607 | Accuracy: 67.780% 
001  00030 |Loss: 1.593 | Accuracy: 68.021% 
001  00031 |Loss: 1.580 | Accuracy: 68.246% 
001  00032 |Loss: 1.559 | Accuracy: 69.043% 
001  00033 |Loss: 1.548 | Accuracy: 69.034% 
001  00034 |Loss: 1.531 | Accuracy: 69.485% 
001  00035 |Loss: 1.520 | Accuracy: 69.732% 
001  00036 |Loss: 1.508 | Accuracy: 70.052% 
001  00037 |Loss: 1.492 | Accuracy: 70.524% 
001  00038 |Loss: 1.481 | Accuracy: 70.888% 
001  00039 |Loss: 1.476 | Accuracy: 70.994% 
001  00040 |Loss: 1.468 | Accuracy: 71.250% 
001  00041 |Loss: 1.455 | Accuracy: 71.646% 
001  00042 |Loss: 1.446 | Accuracy: 71.949% 
001  00043 |Loss: 1.432 | Accuracy: 72.456% 
001  00044 |Loss: 1.423 | Accuracy: 72.656% 
001  00045 |Loss: 1.416 | Accuracy: 72.847% 
001  00046 |Loss: 1.406 | Accuracy: 73.098% 
001  00047 |Loss: 1.397 | Accuracy: 73.471% 
001  00048 |Loss: 1.389 | Accuracy: 73.633% 
001  00049 |Loss: 1.379 | Accuracy: 73.852% 
001  00050 |Loss: 1.374 | Accuracy: 73.875% 
001  00051 |Loss: 1.366 | Accuracy: 74.081% 
001  00052 |Loss: 1.356 | Accuracy: 74.459% 
001  00053 |Loss: 1.348 | Accuracy: 74.705% 
001  00054 |Loss: 1.338 | Accuracy: 75.000% 
